"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4345","Проверка на создание заказа","tests","Tue May 06 11:26:23 MSK 2025","passed","Tue May 06 11:26:27 MSK 2025","TestOrderPage","test_order_page","",""
"","624","Проверить, что в блоке с вопросами появляется соответствующий текст","tests","Tue May 06 11:23:53 MSK 2025","passed","Tue May 06 11:23:53 MSK 2025","TestMainPage","test_main_page","",""
"","5507","При клике на логотип яндекса попадаем на яндекс дзен","tests","Tue May 06 11:26:57 MSK 2025","passed","Tue May 06 11:27:02 MSK 2025","TestYandexLogo","test_yandex_logo","",""
"","621","Проверить, что в блоке с вопросами появляется соответствующий текст","tests","Tue May 06 11:25:19 MSK 2025","passed","Tue May 06 11:25:20 MSK 2025","TestMainPage","test_main_page","",""
"","617","Проверить, что в блоке с вопросами появляется соответствующий текст","tests","Tue May 06 11:24:08 MSK 2025","passed","Tue May 06 11:24:09 MSK 2025","TestMainPage","test_main_page","",""
"","619","Проверить, что в блоке с вопросами появляется соответствующий текст","tests","Tue May 06 11:25:49 MSK 2025","passed","Tue May 06 11:25:50 MSK 2025","TestMainPage","test_main_page","",""
"","614","Проверить, что в блоке с вопросами появляется соответствующий текст","tests","Tue May 06 11:25:34 MSK 2025","passed","Tue May 06 11:25:35 MSK 2025","TestMainPage","test_main_page","",""
"","631","Проверить, что в блоке с вопросами появляется соответствующий текст","tests","Tue May 06 11:24:23 MSK 2025","passed","Tue May 06 11:24:24 MSK 2025","TestMainPage","test_main_page","",""
"","640","Проверить, что в блоке с вопросами появляется соответствующий текст","tests","Tue May 06 11:25:04 MSK 2025","passed","Tue May 06 11:25:04 MSK 2025","TestMainPage","test_main_page","",""
"","510","При клике на логотип самоката переходим на главную страницу","tests","Tue May 06 11:26:42 MSK 2025","passed","Tue May 06 11:26:43 MSK 2025","TestOrderPage","test_order_page","",""
"","620","Проверить, что в блоке с вопросами появляется соответствующий текст","tests","Tue May 06 11:24:49 MSK 2025","passed","Tue May 06 11:24:50 MSK 2025","TestMainPage","test_main_page","",""
"","4412","Проверка на создание заказа","tests","Tue May 06 11:26:04 MSK 2025","passed","Tue May 06 11:26:09 MSK 2025","TestOrderPage","test_order_page","",""
